package	files	goja	jsparse	go_go_goja	bubbletea	bubbles	javascript_path	repl_path
pkg	128	0	0	0	0	0	0	0
pkg/autocomplete	2	0	0	0	1	1	0	0
pkg/buttons	2	0	0	0	1	1	0	0
pkg/chat	8	0	0	0	1	1	0	0
pkg/commandpalette	3	0	0	0	1	0	0	0
pkg/diff	11	0	0	0	1	1	0	0
pkg/eventbus	1	0	0	0	0	0	0	0
pkg/filepicker	6	0	0	0	1	1	0	0
pkg/listbox	2	0	0	0	1	0	0	0
pkg/logutil	1	0	0	0	0	0	0	0
pkg/mode-keymap	2	0	0	0	0	1	0	0
pkg/overlay	1	0	0	0	0	0	0	0
pkg/repl	38	0	0	0	1	1	0	1
pkg/repl/evaluators	3	0	0	0	0	0	0	1
pkg/repl/evaluators/javascript	3	1	1	1	0	0	1	1
pkg/sparkline	4	0	0	0	1	0	0	0
pkg/textarea	4	0	0	0	1	1	0	0
pkg/textarea/memoization	2	0	0	0	0	0	0	0
pkg/timeline	20	0	0	0	1	1	0	0
pkg/timeline/chatstyle	2	0	0	0	0	0	0	0
pkg/timeline/renderers	12	0	0	0	1	0	0	0
pkg/tui	22	0	0	0	0	0	0	0
pkg/tui/asyncprovider	3	0	0	0	0	0	0	0
pkg/tui/inputhistory	3	0	0	0	0	0	0	0
pkg/tui/widgets	16	0	0	0	0	0	0	0
pkg/tui/widgets/contextbar	4	0	0	0	1	0	0	0
pkg/tui/widgets/contextpanel	6	0	0	0	1	0	0	0
pkg/tui/widgets/suggest	6	0	0	0	1	0	0	0
